@relation timetagging

@attribute gloss string
@attribute class {past, present, future, neutral}



@data
'सत्रहवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि अठारह की क्रमसूचक संख्या होती है ',past
'केवल मन बहलाने के लिए किया जाने वाला काम ',future
'बिना विराम के या बिना रुके या बिना क्रम-भंग के ',future
'इत्र का व्यापार करने वाला व्यक्ति ',neutral
'यज्ञ के अंत में किया जाने वाला स्नान ',future
'वह घोड़ा जिसका जन्म से ही अंडकोश की कौड़ी न हो ',present
'अच्छी तरह से विचार किया हुआ ',present
'नींद लाने वाला ',neutral
'एक दिन का अन्तर देकर आने वाला ज्वर ',future
'आँकने, कूतने या अंदाजा लगाने वाला व्यक्ति ',neutral
'प्रत्येक संक्रांति से बीस दिन पूर्व का समय ',neutral
'अंधविश्वास करने वाला व्यक्ति ',neutral
'यज्ञ के लिए तीन हरी लकड़ियों द्वारा घेरा हुआ स्थान ',future
'सूत्र के रूप में बनाया हुआ ',future
'नियत स्वर से हटा हुआ ',neutral
'छत को सहारा देने वाला मोटा खंभा ',neutral
'किसी समय भी ',neutral
'सुखपूर्वक या आराम से बैठा हुआ ',neutral
'सृजन की क्षमता या योग्यता वाला ',neutral
'शरीर का गठा हुआ होना ',neutral
'कच्चे आम को छीलकर सुखाया हुआ कतरा ',neutral
'बदला हुआ वेष या दूसरा रूप ',neutral
'जिसने अपने आपको खुद शिक्षित किया हो या जिसने बिना गुरु के शिक्षा प्राप्त की हो ',present
'पहली के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि दो की क्रमसूचक संख्या होती है ',past
'अश्लील, गंदी और भद्दी बातों से भरा हुआ गीत ',neutral
'सताईसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि अठाईस की क्रमसूचक संख्या होती है ',past
'कर्त्तव्य, व्यवस्था आदि को बीच में कुछ समय के लिए रोकना या ठीक तरह से न चलने देना ',past
'नौवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि दस की क्रमसूचक संख्या होती है ',past
'बँधा हुआ क्रम, तार या सिलसिला इस प्रकार भंग होना कि विरसता उत्पन्न हो ',present
'इच्छित समय पर घंटी बजाने वाली घड़ी ',future
'फेंका हुआ होना ',neutral
'पाँचवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि छह की क्रमसूचक संख्या होती है ',past
'पच्चीसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि छब्बीस की क्रमसूचक संख्या होती है ',past
'जो सूर्यवंश में उत्पन्न हुआ हो ',present
'अंगुली के छोर पर निकला हुआ फोड़ा ',future
'बर्फ से पूर्ण या भरा हुआ ',neutral
'काल अथवा समय की शुरुआत होना ',neutral
'जिसमें स्वाद हो या जो स्वाद से भरा हुआ हो ',present
'ऐसा समय जो ठीक या उपयुक्त न हो ',present
'कई प्रकार की चित्तियों वाला एक लंबा साँप ',neutral
'ग्यारहवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि बारह की क्रमसूचक संख्या होती है ',past
'बिगड़ा हुआ शब्द ',neutral
'जो अश्रु से भरा हुआ हो ',present
'कुछ समय तक बनी रहने वाली तेज ध्वनि ',neutral
'हाथ का लिखा हुआ ',neutral
'युद्ध न करने वाला व्यक्ति ',neutral
'फालतू या अतिरिक्त समय ',neutral
'दूसरी के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि तीन की क्रमसूचक संख्या होती है ',past
'जठराग्नि में अन्न का परिपाक होने पर बनने वाला रस ',future
'* नाव चलाते समय पतवार घुमाना ',neutral
'शरीर की वह स्वाभाविक क्रिया जिसमें धड़ और बाँहें कुछ समय के लिए तनती या ऐंठती हैं ',past
'निंदा करने वाला या दूसरों की बुराई बताने वाला व्यक्ति ',neutral
'अक्षत योनि कन्या या स्त्री ऐसी कन्या जिसका पुरुष के साथ समागम न हुआ हो ',present
'अपने से ही किया हुआ ',present
'अष्टांग योग करने वाला व्यक्ति ',neutral
'जिसका राज्य एक समुद्र से दूसरे समुद्र तक फैला हो ',present
'खिसका या फिसला हुआ ',neutral
'जो सुख देने वाला हो ',present
'बर्फ में होने या पाया जाने वाला ',future
'आठ बूटियों वाला ताश का पत्ता ',neutral
'त्यागा, छोड़ा अथवा अलग किया हुआ ',present
'स्राव के रूप में निकला या निकाला हुआ ',future
'गणित में दो या उससे अधिक अंकों को जोड़ते समय उस संख्या का नई गिनती में आना जो योग की अंत की संख्या या इकाई संख्या लिख लेने पर बाकी रहती है ',past
'वह ध्वज जिसमें हनुमान का चित्र बना हो ',present
'अपहरण करने वाला व्यक्ति ',neutral
'संगीत में वह स्वर जो निषाद से षडज तक उतरता जाय या उतरा हुआ स्वर ',present
'भारत का या भारत से संबंध रखने वाला ',neutral
'अपना भोजन स्वयं तैयार करने वाला ',neutral
'मथकर मक्खन निकाल लेने पर बचा हुआ दही का पानी ',future
'घसीटकर न लिखा हुआ या सुंदर ढंग से लिखा हुआ ',present
'जो हरे पेड़-पौधों से भरा हुआ हो ',present
'छब्बीसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि सताईस की क्रमसूचक संख्या होती है ',past
'नाव का लटकता हुआ रस्सा ',neutral
'इस समय के बाद से ',future
'नाक से बोलना या बोलते समय शब्दों का अनुनासिकवत उच्चारण करना ',neutral
'इक्कीसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि बाइस की क्रमसूचक संख्या होती है ',past
'जो पसीने से भीगा हुआ हो ',present
'तलवार से जीविका कमाने वाला व्यक्ति ',neutral
'अन्न से बना हुआ त्वचा से लेकर वीर्य तक का समुदाय ',neutral
'जलाने के लिए एकत्र किया हुआ कंडों का ढेर ',future
'जो पाप करता हो या पाप करने वाला ',present
'शरारत या नटखट भरा काम ',neutral
'अमानत या धरोहर रखने वाला व्यक्ति ',neutral
'किसी अन्य या दूसरे दिन पर ',future
'वह कारीगर जो अस्त्र या हथियार बनाता हो या हथियार बनाने वाला कारीगर ',present
'ज्योतिष के अनुसार वह केतु जो पश्चिम में उगता हो और उत्तर तक फैला हुआ हो ',present
'अधिक दान करने वाला व्यक्ति ',neutral
'वीरण प्रजापति की कन्या जिसका विवाह दक्ष से हुआ था ',present
'गूँजता हुआ ',neutral
'वह सेना जो केवल आपातकाल में ही तैनात की जाती है और बाकी समय उनकी कोई विशेष ड्यूटी नहीं होती ',past
'सफेद शरीर और काली चोंच वाला कबूतर ',neutral
'कट या टूटकर निकला हुआ अथवा कतर या काटकर निकाला हुआ छोटा टुकड़ा ',neutral
'वंश को धब्बा लगाने या अपमानित कराने वाला व्यक्ति ',neutral
'भयभीत करने के लिए जोर से किया जाने वाला शब्द ',future
'बाँस की तीलियों का बना हुआ पर्दा ',neutral
'नया निकला हुआ कोमल पत्ता ',neutral
'फलित ज्योतिष के अनुसार वह चक्र जिसमें किसी के जन्म के समय के ग्रहों की स्थिति लिखी रहती है ',past
'जादू-टोना करने वाला तथा विष नाशक औषधियाँ बेचने वाला व्यक्ति ',neutral
'दो सतहों को चिपकाने या जोड़ने वाला पदार्थ ',neutral
'वह प्रचंड विष जो समुद्रमन्थन के समय समुद्र से निकला था ',present
'चौकोर या गोल कटा हुआ छोटा टुकड़ा ',neutral
'वह नियत काल या समय जिसमें कोई अधिकारी या प्रतिनिधि अपने पद पर रहकर कार्य करता है ',past
'गरम धातु से दाग़कर दिया या उससे लगा हुआ घाव या जख़्म ',neutral
'उद्घोषणा करने वाला व्यक्ति ',neutral
'बही-खाते आदि में लिखा जाने वाला कोई मद ',future
'वह व्यक्ति जो सोते समय खाट पर ही पेशाब कर देता हो ',present
'उद्यम या उद्योग करने वाला व्यक्ति ',neutral
'आषाढ़ शुक्ल पूर्णिमा को कहीं-कहीं पर लगने वाला एक मेला ',future
'अकबर के समय के हिंदी के एक कवि ',future
'उकसाने या भड़काने वाला व्यक्ति ',neutral
'खैर की लकड़ी का निकला हुआ सत्त ',neutral
'घूँसे या मुक्के से किया जाने वाला प्रहार ',future
'स्वयंसेवकों द्वारा किया जाने वाला निश्शुल्क काम ',future
'पानी रखने का काठ, मिट्टी, पत्थर आदि का बना गहरा बर्तन ',neutral
'मुँह से निकलने वाला व्यथा सूचक शब्द ',neutral
'ब्रह्म तथा जीव को एक मानने वाला या अद्वैत सिद्धांत को मानने वाला व्यक्ति ',neutral
'साठ पल या चौबीस मिनट का समय ',neutral
'बाँस या पतली टहनियों का बना हुआ गोल और गहरा पात्र ',neutral
'किसी महिला का वह पुत्र जो उसके पहले पति से उत्पन्न हुआ हो ',present
'किसी साग में पानी में घोलकर मिलाया जाने वाला बेसन या आटा ',future
'संभोग के समय स्त्री के मुँह से निकलनेवाला सी-सी शब्द ',future
'घर परिवार चलाने के लिए किया जाने वाला खर्च ',future
'भुना हुआ अनाज जो चबाकर खाया जाता है ',present
'आमने-सामने लड़ाई न करके छिपकर किया जाने वाला यूक्तिपूर्ण अनियमित युद्ध जिसका पता विरोधी को न चल सके ',present
'कपड़े का कटा हुआ टुकड़ा ',neutral
'(व्याकरण में) क्रिया का वह रूप जिससे उसके होने या किए जाने के समय का ज्ञान होता है ',past
'जीवन में किया जाने वाला आचरण या कार्य ',future
'सूर्यास्त होने से पहले और बाद के तीस क्षणों के बीच का समय जब चरकर लौटती हुई गौओं के खुरों से धूल उड़ती रहती है ',past
'घीया-तोरी की लता में लगने वाला लंबोतरा हरा फल ',future
'एक यंत्र जिसकी सहायता से कुछ बड़े हिसाब बहुत सहज में और थोड़े समय में लगाए जाते हैं ',past
'किसी यंत्र में लगा वह पुर्जा जो समय को नियंत्रित करता है ',past
'दिन में केवल एक बार भोजन ',future
'समय का एक विभाग जिसमें चौदह मन्वंतर या चार अरब बत्तीस करोड़ वर्ष होते हैं ',neutral
'चलाए हुए अस्त्र-शस्त्र को निष्फल करने वाला अस्त्र ',neutral
'आसमान से गिरने वाला बर्फ का टुकड़ा ',neutral
'जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल ',neutral
'कोका नामक वृक्ष की पत्तियों से बना एक मादक पदार्थ ',neutral
'भाद्रपद वद्य षष्ठी के दिन मंगलवार, रोहिणी नक्षत्र, व्यतीपात योग, सूर्य नक्षत्र हस्त, इनका योग ',future
'पानी से भरा घड़ा रखने की तिपाई ',neutral
'गदा धारण करने वाला व्यक्ति ',neutral
'निचुड़कर एकत्र हुआ पानी ',neutral
'एक पात्र जिसमें औटा हुआ दूध रखते हैं ',neutral
'मूँज आदि से बिना हुआ एक प्रकार का पात्र ',neutral
'विद्यालय आदि में अध्ययन-अध्यापन की दृष्टि से की गई समय की बाँट, जिसमें एक-एक विषय पढ़ाया जाता है ',past
'ईश्वर संबंधी गुणों का गाकर किया जाने वाला वर्णन या गुणगान ',future
'चारों ओर से घिरा हुआ बड़ा मैदान ',neutral
'वह पात्र जिसमें इत्र से सुवासित किया हुआ फाहा रखा होता है ',present
'चार होताओं द्वारा सम्पन्न होने वाला यज्ञ ',neutral
'वह रंग जो दो या दो से अधिक रंगों के मिश्रण से बना हो ',present
'विस्तारपूर्वक कहा या लिखा जाने वाला हाल ',future
'खाट की बुनाई करने वाला व्यक्ति ',neutral
'कथा को कहने वाला ',neutral
'केवल जल में पका हुआ अन्न ',future
'ग्रंथ की रचना करने वाला ',neutral
'* पेंट से बनाया हुआ चित्र ',neutral
'जो कल्पना करता हो या कल्पना करने वाला ',present
'समय को मापने की माप ',neutral
'एक खेल जिसमें कुछ बच्चे पेड़ पर चढ़ जाते हैं और हारा हुआ लड़का उनको छूता है ',past
'गैस से जलने वाला चूल्हा ',neutral
'चीरने या काटने से या चिरने या कटने से बना हुआ क्षत या घाव ',neutral
'दीवार से बाहर निकला हुआ वह पत्थर का टुकड़ा जो ऊपरी भार संभालने के लिए लगाया जाता है ',past
'लकड़ी गढ़कर दरवाज़े, मेज, चौकी आदि बनाने वाला कारीगर ',neutral
'कूटा हुआ मांस ',neutral
'ख़ुद पर लगाया हुआ अनुशासन ',future
'मुँह के अंदर का वह स्थान जहाँ कोई भी ध्वनि उच्चारण करते समय जिह्वा का स्पर्श होता है ',past
'हाथ से फेंका जाने वाला या प्रक्षेपास्त्र से दागा जाने वाला एक छोटा विस्फोटक बम ',future
'काल या समय का सबसे छोटा मान ',neutral
'कपड़े का बना हुआ या कपड़ा लगा हुआ पंखा ',neutral
'चूने, सीमेंट आदि से बना पक्का फर्श ',neutral
'प्राचीन काल में युद्ध में प्रयुक्त होने वाला काठ का बड़ा सन्दूक ',future
'औषधि से किया जाने वाला उपचार ',future
'किसी तल पर पड़ा हुआ चिह्न ',future
'व्यक्तियों या वस्तुओं का प्रायः बना रहने वाला साथ ',neutral
'कलई करने वाला कारीगर ',neutral
'किसी फैक्ट्री, मकान आदि में ऊपर की ओर बना हुआ छेद जिससे धुँआ बाहर निकलता है ',past
'प्राचीन समय या बहुत पहले बिता हुआ समय ',neutral
'खपड़े से छाया हुआ घर ',neutral
'लोहे आदि का बना वह आवरण जो लड़ाई के समय हथियारों से योद्धा को सुरक्षा प्रदान करता है ',past
'रचना या निर्माण करने या बनाने वाला ',neutral
'चमड़े का एक प्रकार का लकड़ी से बजाने वाला वाद्य ',neutral
'मुहम्मद साहब द्वारा चलाया हुआ धर्म जिसके अनुयायी मुसलमान कहलाते हैं ',neutral
'उद्धार करने वाला व्यक्ति ',neutral
'महोबा का एक वीर जो पृथ्वीराज के समय में था ',future
'निचोड़कर सुखाया हुआ आम का रस जिसकी मोटी परत बन जाती है ',neutral
'चूने के साथ मलकर खाया जाने वाला तम्बाकू या सुरती का पत्ता ',future
'मंत्र द्वारा सर्प का विष उतारने वाला व्यक्ति ',neutral
'छब्बीस जनवरी, जिस दिन भारत एक गणराज्य के रूप में स्थापित हुआ था ',future
'जमाया हुआ ऊनी कपड़ा ',neutral
'+जन्माष्टमी के दूसरे दिन दही की हंडी फोड़कर बाँटा जाने वाला प्रसाद ',future
'धातु, मिट्टी आदि का बना चाय आदि पीने का एक छोटा बर्तन ',neutral
'ब्याज के बदले दिया जाने वाला अन्न ',future
'किसी से ली गई वह वस्तु, पैसा आदि जो दिए गए समय पर उसको लौटाई जाए ',past
'उपकार करने वाला व्यक्ति ',neutral
'बहता हुआ या प्रवाहित द्रव ',neutral
'ऊन आदि का बना हुआ वह मोटा कपड़ा जो ओढ़ने आदि के काम में आता है ',past
'आयव्यय का निरीक्षण करने वाला व्यक्ति ',neutral
'चौकीदार के रहने के लिए बना छोटा घर ',future
'चक्की को टाँकी से कूटकर खुरदरी करने वाला कारीगर ',neutral
'नव-ग्रहों का प्रकोप शांत करने के उद्देश्य से किया जाने वाला होम ',future
'पक्षियों का निकला हुआ नवीन पर या पंख ',future
'ईख या गन्ना बोने का पहला दिन ',neutral
'फल आदि का काटा या चीरा हुआ टुकड़ा ',neutral
'कोटर में बना पक्षी का घोंसला ',neutral
'पूरी हथेली से किया जाने वाला आघात ',future
'सुंदर और साफ़ अक्षर लिखने वाला व्यक्ति ',neutral
'सारणी, चक्र आदि का रेखाओं से घिरा हुआ विभाग ',neutral
'दाँतों से काटा हुआ गन्ने का एक छोटा टुकड़ा ',neutral
'संस्कृति के इतिहास में वह काल मान जो समय और अवस्था आदि की दृष्टि से अपना एक परिभाष्य या महत्वपूर्ण स्थान रखता हो ',past
'लाल और काले के मेल से बना हुआ एक रंग ',neutral
'मनुष्य को छोड़कर अन्य स्तनपायियों की वह अवस्था या समय जब उनकी मैथुनिक उत्तेजना और क्रियाएँ चरम पर होती हैं ',past
'चढ़ाव-उतार वाला पहाड़ी मार्ग ',neutral
'मिट्टी या घासफूस आदि का बना छोटा घर ',neutral
'अचानक आया हुआ अनपेक्षित संकट ',neutral
'आवाहन करने या बुलाने वाला व्यक्ति ',neutral
'अप्रिय या बुरा लगने वाला भाषण ',neutral
'उड़ने या रेंगने वाला छोटा जंतु ',neutral
'कपड़े की बनी हुई छोटी गोल गद्दी जो बोझ उठाते समय सिर पर रख लेते हैं ',past
'चमड़े का बना हुआ वह थैला जिसमें पानी भरते हैं ',neutral
'हाथ का बुना हुआ सघन, चित्रात्मक कपड़े का बना वाल हैंगिग ',neutral
'कलम द्वारा उगाया हुआ आम का पेड़ ',neutral
'दूध फाड़कर उसका पानी निकालने पर बचा हुआ सफेद अंश ',future
'चंदन की लकड़ी को जल में घिस या रगड़कर बनाया हुआ गाढ़ा घोल या लेप जिसका टीका आदि लगाया जाता है ',past
'रासायनिक विधि से बनाया हुआ उर्वरक ',neutral
'तलवार की म्यान बनाने वाला ',neutral
'दुर्बल या अधीनस्थ लोगों का आर्थिक रूप से किया जाने वाला शोषण ',future
'अफ्रीकी-अमरीकी संस्कृति को दर्शाने वाला एक त्योहार ',neutral
'पके हुए अन्न का वह थोड़ा-सा अंश जो भोजन या श्राद्ध आदि के समय गाय के लिए निकाला जाता है ',past
'घबराहट के समय हाय-हाय की पुकार या चिल्लाहट ',neutral
'मिट्टी, पत्थर का कुछ उभरा हुआ भू-भाग ',neutral
'हुक्कों में नैचे बनाने वाला व्यक्ति ',neutral
'रुई आदि से भरा हुआ वह मुँहबंद थैला जो लेटने या सोने के समय सिर आदि के नीचे रखते हैं ',past
'कबाब खाने वाला व्यक्ति ',neutral
'धार्मिक ग्रंथों में वर्णित वह स्थान जहाँ महाभारत का युद्ध हुआ था ',future
'गेहूँ मिला हुआ जौ ',neutral
'कुल या वंश को तारने वाला या पवित्र करने वाला व्यक्ति ',neutral
'कमाया हुआ धन ',neutral
'मांस का बना एक आहार जो मांस को घी आदि में खूब भूनकर बनाया जाता है ',past
'शुभ नक्षत्र,दिन आदि देखकर पूजा-पाठ आदि करके नए घर में प्रवेश करने की क्रिया ',past
'धान को उबाल कर निकाला हुआ चावल ',neutral
'समय सूचित करने के लिए बजाया जाने वाला घंटा ',future
'वह कपड़ा जो लचीले तागों से बना होता है ',present
'पशुओं या पक्षियों का मुड़ा हुआ पंजा ',neutral
'गाड़ी अथवा कल आदि में लगा हुआ वह चक्र जिसके धुरी पर घूमने से गाड़ी या कल चलता है ',past
'आसवन किया हुआ जल ',present
'विद्युत से चार्ज़ होने वाला परमाणु ',neutral
'उँगली द्वारा किया जाने वाला संकेत ',future
'राजा या शासन द्वारा भेजा हुआ आज्ञापत्र ',neutral
'सिर्फ उँगलियों से किया जाने वाला आघात ',future
'आग सुलगाने के लिए लगाया हुआ उपलों का ढेर ',future
'कंठ या गले में पहना जाने वाला आभूषण ',future
'ईसा मसीह के जन्म काल से प्रारम्भ हुआ संवत् ',future
'सिर पर उँगलियों से किया हुआ आघात ',future
'खान से निकला हुआ ताजा लोहा ',neutral
'बिना एड़ी उठा हुआ जूता ',neutral
'फसल काटते समय खेत में गिरा हुआ अन्न ',future
'सूखा हुआ गोबर ',neutral
'वह धन, वस्तु आदि जो पाँसे, जुए आदि खेलों के समय हार-जीत के लिए खिलाड़ी सामने रखते हैं ',past
'सुनकर लिखा हुआ लेख ',neutral
'किसी का लंबा या फैला हुआ स्थानिक भाग या क्षेत्र ',neutral
'एक प्रत्यय जो कुछ शब्दों के अन्त में लगकर आया, मिला या लगा हुआ का अर्थ देता है जैसे कि अंतर्गत, बहिर्गत आदि ',past
'दूसरे के यहाँ रसोई बनाने वाला व्यक्ति ',neutral
'वह तोड़ा हुआ पत्थर जो इमारत बनाने में काम आता है ',present
'अकारण लोगों से लड़ने या मार पीट करने वाला ',neutral
'पहुँचा हुआ फकीर या सिद्ध ',neutral
'कुरते आदि में लगने वाला कटा हुआ तिकोना कपड़ा ',future
'केवड़े के फूल का उतारा हुआ अर्क ',neutral
'फटे हुए खुर या सूम वाला घोड़ा ',neutral
'नाचने या नृत्य करने वाला व्यक्ति ',neutral
'निषेध या अस्वीकृति सूचित करने वाला शब्द ',neutral
'जन्म से मृत्यु तक का समय जिसकी गणना दिनों, महीनों, वर्षों आदि में होती है ',past
'किसी चीज का कटा हुआ चौकोर बड़ा टुकड़ा ',neutral
'गढ़ने के बाद प्राप्त होने वाला रूप ',future
'सधवा स्त्री का ऐसा पुत्र जो उसके यार या पर पुरुष से उत्पन्न हुआ हो ',present
'माघ महीने के चतुर्थी के दिन मनाया जाने वाला गणपती का जन्म-दिन ',future
'कान में पहनी जाने वाली बालियों में लपेटा हुआ पतला तार ',future
'क्रिकेट की धावपट्टी या पिच पर खींची गई लकीरों में से कोई एक जो कि गेंदबाज़ी करते समय गेंदबाज़ की तथा बल्लेबाज़ी करते समय बल्लेबाज़ की स्थिति बताती है ',past
'मुसलमानों के अनुसार इस्लाम न मानने वाला व्यक्ति ',neutral
'वह जन्तु जिसका शरीर मात्र एक कोशिका से बना होता है ',present
'द्वितीय विश्वयुद्ध के समय धुरी राष्ट्र का विरोध करने वाले सभी देशों का समूह ',neutral
'मांगलिक अवसरों पर पूजा आदि के काम में आनेवला वह कच्चा चावल जो प्रायः दही, रोली, चंदन, केसर आदि में रंगा हुआ होता है ',past
'सीकों पर भूना हुआ मांस ',future
'धान को भून और कूटकर बनाया हुआ चिपटा दाना ',neutral
'पुरानी चाल की तोपों, बन्दूकों आदि में कुछ ऊपर उठा हुआ और प्याली के आकार का वह गड्ढा जिसमें रंजक रखी जाती थी ',past
'वह यंत्र जिससे घंटे और मिनट आदि के हिसाब से समय का पता लगता है ',past
'बिना पका या पकाया हुआ अन्न ',neutral
'किसी पर झूठ-मूठ लगाया हुआ आरोप ',future
'थूकने या खाँसने के समय मुँह से निकलने वाला गाढ़ा लसदार पदार्थ ',neutral
'किसी अन्न (खाद्य वस्तु) का पिसा हुआ चूर्ण ',neutral
'विशिष्ट प्रक्रिया से निकाला हुआ फूलों का सुगंधित सत्व ',neutral
'शब्दों का अकारादि क्रम से संग्रह करके उनके अर्थ बताने वाला ',neutral
'एक धर्म प्रवर्तक जिनका चलाया हुआ धर्म ईसाई धर्म कहलाता है ',neutral
'बहुत अधिक सजा हुआ तथा सुन्दर स्थान ',future
'वह दिन या समय जिसमें कष्ट देनेवाली घटनाएँ हों ',neutral
'भुना हुआ चना ',neutral
'दिन-रात का चौबीसवाँ भाग या साठ मिनट का समय ',neutral
'जीने की क्षमता के आधार पर निर्धारित वह औसत समय सीमा जितनी की कोई व्यक्ति जीने की उम्मीद कर सकता है ',past
'सिंचाई, यात्रा आदि के लिए छोटी नदी के रूप में तैयार किया हुआ जलमार्ग या वह जलमार्ग जिसका उपयोग सिंचाई, यात्रा आदि के लिए होता है ',past
'आर्यसमाज के सिद्धांतों को मानने वाला व्यक्ति ',neutral
'आयात पर लगने वाला कर ',future
'निर्लज्जता भरा काम या व्यवहार या उलटी-पुलटी हरकत ',neutral
'विशेषकर दूरदर्शन या रेडियो पर बताया जाने वाला किसी घटना का वह आँखों देखा मौखिक विवरण जो उस समय बताया जाता है जब वह घटना घटती रहती है ',past
'चाय के पौधे की पत्तियों को पानी में उबालकर चीनी, दूध आदि मिलाकर बनाया हुआ पेय पदार्थ ',past
'ईसामसीह द्वारा चलाया हुआ एक धर्म ',neutral
'भात पकाने पर निकलने वाला पानी ',future
'अग्नि के सहयोग से होने या किया जाने वाला काम ',future
'आविष्कार करने वाला व्यक्ति ',neutral
'जलकर उभड़ा हुआ दीपक की बत्ती का अंश ',neutral
'गन्ने का काटा हुआ टुकड़ा ',neutral
'पानी को रोकने या मज़बूती के लिए दीवार से लगाकर जमाया हुआ ईंट, पत्थर, मिट्टी आदि का ढेर ',past
'रबर लगा हुआ लकड़ी का वह छोटा उपकरण जिससे पत्थर,मिट्टी आदि की गोलियाँ चलाई जाती हैं ',past
'बोझा उठाने में सहायता करने वाला व्यक्ति ',neutral
'पानी में साना हुआ भुने चने का बेसन ',future
'काम करते-करते बैठ जाने वाला बैल ',future
'आसेध करने या प्रतिबंध लगाने वाला व्यक्ति ',neutral
'मँजीरे की तरह का गोलाकार धातु के टुकड़ों का जोड़ा जो पूजन आदि के समय बजाया जाता है ',past
'वह जो किया जाए या किया जाने वाला काम या बात ',present
'धौंकनी से बजने वाला एक अंगरेजी बाजा ',neutral
'बाँस या पतली टहनियों का बना हुआ छोटा,गोल और गहरा बरतन ',neutral
'गोल या पान के आकार का बना हुआ जरदोजी पंखा जिस पर सूर्य का चिन्ह्र बना रहता है और जो बारात, जलूसों आदि में झंडे के साथ आगे आगे चलता है ',past
'किसी जाति, वर्ग, पद आदि के लिए निश्चित किया हुआ कार्य या व्यवहार ',past
'एक अन्न जो भूसी उतारा हुआ धान है ',neutral
'द्वितीय विश्वयुद्ध में भाग लेने वाले वे राष्ट्र जिनका मित्रराष्ट्र ने विरोध किया था ',future
'+कूटने के लिए लिया हुआ अनाज ',future
'रुई,पयाल आदि से भरा हुआ मोटा और गुदगुदा बिछौना ',neutral
'पशुओं के खाने के बाद बचा हुआ चारा या घास ',future
'मिठाई, पूरी, नमकीन, पकवान आदि बनाने और बेचने वाला ',neutral
'सुनहले या रूपहले तारों से बना हुआ फीता जो कपड़ों पर टाँका जाता है ',present
'जरदोजी किया हुआ एक प्रकार का कपड़ा ',neutral
'वह दृश्य आदि जो बहुत कम समय के लिए आँखों के सामने रहे ',past
'रोगन किया हुआ एक प्रकार का टाट जो धूप और वर्षा से रक्षा के लिए चीज़ों के ऊपर डाला या ताना जाता है ',past
'जौ मिला हुआ गेहूँ, चना आदि ',neutral
'जरतुश्त्र द्वारा चलाया हुआ एक धर्म ',neutral
'किसी के मरने पर बारहवें दिन होने वाला श्राद्ध ',future
'जोतने बोने योग्य वह ज़मीन जो कुछ समय के लिए खाली पड़ी हो या जोती-बोई न गई हो ',present
'लंबी सींकों या रेशों आदि का बना हुआ वह उपकरण जिससे ज़मीन या फर्श झाड़ते या साफ करते हैं ',past
'मुगल काल में लगने वाला एक कर ',future
